Código (SKU);Descrição;Preço;URL imagem externa 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003045;HD SkyHawk 10TB ST10000VE0008;1794;https://http2.mlstatic.com/D_806222-MLA45683797630_042021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003046;HD  GOLD 12 TB;3549;https://http2.mlstatic.com/D_800295-MLA71518370686_092023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003047;HD WD Purple 12TB - WD121PURZ;2469;https://http2.mlstatic.com/D_978865-MLU72645122189_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003047-7;HD  Red 12tb Nas Wd120efbx - Vermelho;1969;https://http2.mlstatic.com/D_861385-MLA71950567149_092023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003047-8;Disco Rígido Interno Western Digital Wd Red Plus Wd120efbx 12tb Vermelho;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003048;HD NAS IronWolf  12 TB;2106;https://http2.mlstatic.com/D_604869-MLA43690836180_102020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003048-8;HD Ironwolf Pro 12tb St12000ne0008;2099;https://http2.mlstatic.com/D_759481-MLB69454250640_052023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003049;HD NAS IronWolf de 14 TB;3055;https://http2.mlstatic.com/D_993380-MLA41512530474_042020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003049-1;Disco Rígido Interno Seagate Ironwolf Pro St14000ne0008 14tb;2350;https://http2.mlstatic.com/D_803110-MLB73828978298_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003050;HD Exos X16 14 TB;3848;https://http2.mlstatic.com/D_836604-MLA53964141808_022023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003051;HD WD Purple de 14 TB – WD140P;6599;https://http2.mlstatic.com/D_908488-MLA46303184490_062021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003051-1;Cpu Gamer / Core I53470 / 8gb/ Ssd 240/gtx 1650 4gb;2659;https://http2.mlstatic.com/D_893350-MLB54848261189_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003052;HD Red 14TB NAS - Vermelho,;3250;https://http2.mlstatic.com/D_980867-MLA47856474020_102021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003052-1;Hd Wd Gold Enterprise Sata Iii 14tb 512mb 6 Gb/s 7.200 Rpm;3564;https://http2.mlstatic.com/D_905073-MLU70500852102_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003052-2;Disco Rígido Interno Western Digital Wd Red Plus Wd140efgx 1;2249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003053;HD NAS da IronWolf Pro 16 TB;4291;https://http2.mlstatic.com/D_689524-MLB52336040193_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003053-3;HD Ironwolf 16tb St16000vn001;2599;https://http2.mlstatic.com/D_800377-MLB69548182242_052023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003054;HD WD PURPLE 18TB -WD181PURP;3530;https://http2.mlstatic.com/D_841368-MLA48635614509_122021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003055;HD Skyhawk AI 18TB;3796;https://http2.mlstatic.com/D_648995-MLA48231208836_112021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003056;HD Ironwolf Pro 20tb St20000ne000;3049;https://http2.mlstatic.com/D_656588-MLU74530624343_022024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003057;HD Externo Expansion 1tb Stea1000400;349;https://http2.mlstatic.com/D_907138-MLA51454615524_092022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003057-7;HD Externo Expansion 1tb Stea1000400;276,15;https://http2.mlstatic.com/D_667781-MLB52007646769_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003058;Crucial SSD portátil X6 de 1 TB – até 800 MB/s – PC e Mac – Unidade de estado sólido externo USB 3.2 USB-C – CT1000X6SSD;675;https://http2.mlstatic.com/D_918143-MLU72612917105_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003059;HD Externo WD Elements Se 4tb Wdbjrt0040bbk;669;https://http2.mlstatic.com/D_908338-MLA40387385787_012020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003060;HD EXTERNO 2TB EXPANSION - STKM2000400;442;https://http2.mlstatic.com/D_862302-MLB52010175070_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003060-1;HD Externo Expansion 2tb Stkm2000400;499;https://http2.mlstatic.com/D_759714-MLU72350552192_102023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003061;HD Externo WD Elements - 2TB USB 3.0 - WDBJRT0020BBK;422,5;https://http2.mlstatic.com/D_627809-MLA51326771407_082022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003062;HD externo LaCie Rugge Mini 2TB portátil;1027;https://http2.mlstatic.com/D_834382-MLB54480148889_032023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003063;HD SEAGATE EXTERNO PORTATIL LACIE mobile 2TB STHG2000400;942,5;https://http2.mlstatic.com/D_680642-MLA44193291385_112020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003064;Crucial SSD portátil X6 de 2 TB – até 800 MB/s – PC e Mac – Unidade de estado sólido externo USB 3.2 USB-C – CT2000X6SSD;1175;https://http2.mlstatic.com/D_897858-MLB52540148662_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003065;HD externo EXPANSION 4TB;672;https://http2.mlstatic.com/D_669613-MLA50301813762_062022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003065-1;Disco Rígido Externo Lacie Rugged Stfr4000800 4tb Laranja;1590;https://http2.mlstatic.com/D_822867-MLA40988265046_032020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003066;HD Externo Lacie Rugged Mini 4tb Lac9000633;1287;https://http2.mlstatic.com/D_817130-MLB52043438820_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003066-1;HD Externo Lacie Rugged Mini 5tb Stjj5000400;1729;https://http2.mlstatic.com/D_646024-MLB54411009822_032023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003066-2;Disco Rígido Externo Lacie D2 Professional Stha4000800 4tb Preto;1746;https://http2.mlstatic.com/D_668880-MLA45805285646_052021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003067;HD externo Expansion  5 TB;899;https://http2.mlstatic.com/D_980906-MLU72857116088_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003067-1;Hd Externo Lacie 5tb Mobile Drive Usb-c Stlp5000400 - Prateado;1620;https://http2.mlstatic.com/D_671964-MLU74088262269_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003067-2;Hd Seagate Externo Portátil One Touch Usb 3.0 5tb Prata - Prata;999;https://http2.mlstatic.com/D_903433-MLB74118249624_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003068;Hd Desktop Backup Plus Hub 6Tb, Seagate, Stel6000100, Hd Externo;1189;https://http2.mlstatic.com/D_876209-MLU72637169803_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003069;Seagate, HD EXTERNO 6TB STKP6000400, Preto;1179;https://http2.mlstatic.com/D_638173-MLA50144478865_052022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003069-1;Hd Externo Seagate 6tb One Touch 3.5  Stlc6000400 Preto;1360;https://http2.mlstatic.com/D_759240-MLU70545472031_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003070;HD Backup Plus Hub 8tb  Stel8000100;1649;https://http2.mlstatic.com/D_969294-MLA40275448381_122019-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003071;Seagate HD EXTERNO 8TB STKP8000400, Preto;1475,5;https://http2.mlstatic.com/D_983266-MLA50143998955_052022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003072;HD Externo Expansion 10tb  Steb10000400;2189;https://http2.mlstatic.com/D_715519-MLA43280536216_082020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003074;HD Externo Seagate One Touch Hub 10tb Stlc10000400;2100;https://http2.mlstatic.com/D_706701-MLB74134591352_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003075;HD Externo Seagate Backup Plus Hub 10tb  Stel10000400;2189;https://http2.mlstatic.com/D_602615-MLU72628063056_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003076;HD Externo Backup Plus Hub 12 TB STEL12000400;2255,5;https://http2.mlstatic.com/D_698369-MLA47755623046_102021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003077;Seagate HD EXTERNO 12TB STKP12000400, Preto;2320,5;https://http2.mlstatic.com/D_877208-MLU72636828857_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003078;HD externo de 14 TB backup Plus;2529;https://http2.mlstatic.com/D_608042-MLA47753708534_102021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003079;Seagate HDD externo de 14 TB de expansão – USB 3.0 de 3,5 polegadas para Windows e Mac com serviços de recuperação de da;2554,5;https://http2.mlstatic.com/D_916762-MLB52005089118_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003080;Hd Externo 12tb One Touch  With Hub Stlc12000400 Seagate Cor Preto;1380,77;https://http2.mlstatic.com/D_850551-MLU70769274668_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003081;Ssd Externo 500gb Usb C 3.2 Series X6 Crucial - Ct500x6ssd9;400;https://http2.mlstatic.com/D_694065-MLB51606933656_092022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003082;SSD Externo Sandisk Extreme 500gb Sdssde61-500g-g25;759;https://http2.mlstatic.com/D_804298-MLA47572846176_092021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003083;SSD EXTERNO ADATA SD600Q DURABLE 480GB, LEITURA 440MB/s, GRAVAÇÃO 440MB/s - ASD600Q-480GU31-CBK;899;https://http2.mlstatic.com/D_679270-MLA41009474580_032020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003084;SSD Externo Durable 480gb Vermelho Adata - Asd600q-480gu31-c;389;https://http2.mlstatic.com/D_784885-MLU73289932451_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003084-1;SSD Externo Adata Durable  480gb -Azul  Asd600q-480gu31-c;349;https://http2.mlstatic.com/D_970024-MLA41009472616_032020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003085;SSD Externo Sc680 Adata 480gb Ultra Slim Ps5;369;https://http2.mlstatic.com/D_885040-MLU72564880662_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003085-5;Ssd Externo Portátil Kingston Usb Type-c 500gb Sxs2000/500g - Branco;460;https://http2.mlstatic.com/D_971897-MLA48700790021_122021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003087;HD  NOTE BARRACUDA 1 TERA NOVO;309;https://http2.mlstatic.com/D_704077-MLA40602616972_012020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003087-7;HD BARRACUDA 2 TB NOTE;495;https://http2.mlstatic.com/D_966493-MLA41191451881_032020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003088;SSD Disco Sólido Interno Adata AZUL Su650 Asu650ss-120gt-r 120gb;120;https://http2.mlstatic.com/D_630813-MLB72803381202_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003089;SSD Macrovip Mv120gb 120gb;104;https://http2.mlstatic.com/D_976944-MLA53984621125_022023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003094;SSD 240 HP COLOCAR EM MAQUINAS ;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003095;Crucial BX500 240 GB 3D NAND SATA SSD interno de 2,5 polegadas, até 540 MB/s - CT240BX500SSD1 preto/azul;159;https://http2.mlstatic.com/D_840019-MLU72566263316_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003096;SSD Sandisk Plus, 240GB, SATA, Leitura 530MB/s, Gravação 440MB/s, SDSSDA-240G-G26;159;https://http2.mlstatic.com/D_684354-MLB48433704421_122021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003097;SSD ADATA SU650 240GB;155;https://http2.mlstatic.com/D_706137-MLB48433707326_122021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003097-1;Disco Sólido Interno Adata Ultimate Su650 Asu650ss-240gt-r 240gb Preto;188,46;https://http2.mlstatic.com/D_892218-MLU71801814925_092023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003099;SSD Macrovip 240GB - Mv240gb;145;https://http2.mlstatic.com/D_775537-MLB52294661840_112022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003100;SSD WD GREEN 240GB - WDS240G3G0A;149;https://http2.mlstatic.com/D_776090-MLA41022108058_032020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003101;HD Barracuda Pro 1tb St1000dm010;309;https://http2.mlstatic.com/D_856065-MLA40661784044_022020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003101-1;SSD Kingston A400/240gb;159;https://http2.mlstatic.com/D_884620-MLB49804508270_042022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003104;"SSD PATRIOT BURST 240GB 2,5"" SATA 3 - PBE240GS25SSDR";117;https://http2.mlstatic.com/D_897207-MLB50131773521_052022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003105;"SSD ADATA 480GB 2,5"" SATA III 6GB/S - ASU650SS-480GT-R";209;https://http2.mlstatic.com/D_991859-MLA42152830989_062020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003105-5;Disco Sólido Interno Adata Ultimate Su650 Asu650ss-480gt-r 480gb Preto;299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003107;Patriot Memory P210 SATA 3 256 GB SSD 2, 5 polegadas, Preto;139;https://http2.mlstatic.com/D_742732-MLU70421235479_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003108;SD Sandisk Plus, 480GB, SATA, Leitura 535MB/s, Gravação 445MB/s, SDSSDA-480G-G26;229;https://http2.mlstatic.com/D_778415-MLB52084649000_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003109;SSD, Kingston, SA400S37/480G;218,4;https://http2.mlstatic.com/D_850721-MLU72643267071_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003110;"SSD Crucial BX500-500GB Sata 3 7MM 2,5"" – Micron";247;https://http2.mlstatic.com/D_716817-MLB53545055463_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003110-1;"SSD CRUCIAL MX 500-500GB SATA 2, 5"" - 7MM (COM ADAPTADOR DE 9, 5MM) - MICRON,   Micron, CT500MX500SSD1 I";370,5;https://http2.mlstatic.com/D_632794-MLB54291577723_032023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003111;"SEDC450R/480G - SSD de 480GB SATA III SFF 2,5"" Enterprise Série DC450R para Servidores";719;https://http2.mlstatic.com/D_649974-MLB53563653074_022023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003112;SSD 480gb Macrovip 480GB - Mv480gb - Preto;149;https://http2.mlstatic.com/D_748236-MLU72947412502_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003113;"SEDC500R/480G - SSD de 480GB SATA III SFF 2,5"" Enterprise Série DC500R para Servidores";899;https://http2.mlstatic.com/D_674953-MLB53398519930_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003113-1;Ssd Servidor Kingston 480gb Sata 6gbps Dc600m Enterprise Cor Preto;755;https://http2.mlstatic.com/D_770759-MLU70421235281_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003114;"Patriot Memory SSD P210 512GB 2,5"" SATA 3 -P210S512G25, Preto";229;https://http2.mlstatic.com/D_803355-MLB54204091947_032023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003114-1;SSD Patriot P220 512gb   - P220s512gs25 Preto;223;https://http2.mlstatic.com/D_997964-MLU73784224862_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003115;"Patriot SSD BURST 480GB 2,5"" SATA 3 - PBE480GS25SSDR, Preto";219;https://http2.mlstatic.com/D_795544-MLB53547403110_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003116;SSD WD GREEN 480GB - WDS480G3G0A;234;https://http2.mlstatic.com/D_817300-MLA40274871792_122019-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003117;SSD Kingston Sedc500r/960g 960gb Preto;1199;https://http2.mlstatic.com/D_764442-MLU72753844010_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003117-1;Disco Sólido Interno Kingston Sedc600m/960g 960gb;949;https://http2.mlstatic.com/D_752385-MLB74176979946_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003118;SanDisk SSD interno de 1 TB PLUS - SATA III  Preto;439;https://http2.mlstatic.com/D_925596-MLB48433669070_122021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003118-1;Disco Sólido Interno Sandisk Ultra 3d Sdssdh3-1t02-g25 1tb Preto;340;https://http2.mlstatic.com/D_884470-MLA40491725727_012020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003119;"DC450R/960G - SSD de 960GB SATA III SFF 2,5"" Enterprise Série DC 450R para Servidores";1275;https://http2.mlstatic.com/D_813169-MLB53563755106_022023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003119-9;SSD 1TB NIX COLOCAR EM MAQUINAS;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003120;SSD WD GREEN 1TB - WDS100T3G0A;429;https://http2.mlstatic.com/D_646272-MLA40283983443_122019-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003120-1;Ssd Patriot P220 De 1tb Sata Iii Leitura De Até 550 Mb/s, Gravação De Até 500 Mb/s Cor Preto;440;https://http2.mlstatic.com/D_884916-MLU69385267029_052023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003121;SSD 1tb Crucial Bx500 Ct1000bx500ssd1;439;https://http2.mlstatic.com/D_954657-MLA41937253075_052020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003122;"SEDC500R/1920G - SSD de 1,92TB SATA III SFF 2,5"" Enterprise Série DC500R para Servidores";1989;https://http2.mlstatic.com/D_845274-MLB53398305984_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003123;SSD WD GREEN 2TB - Wds200t2g0a;849;https://http2.mlstatic.com/D_882620-MLA54436209409_032023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003124;SSD 1TB WD BLUE;749;https://http2.mlstatic.com/D_631450-MLB53618539846_022023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003125;"SSD de 1TB SATA III Skc600/1024G - SFF 2,5"" Série KC600 para Desktop e Notebook";1020;https://http2.mlstatic.com/D_693179-MLA41780093827_052020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003126;"SSD Crucial BX500 2TB 3D NAND SATA lll 2,5"" - CT2000BX500SSD1";978;https://http2.mlstatic.com/D_880692-MLB53644031593_022023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003127;"SKC600/2048G - SSD de 2TB SATA III SFF 2,5"" Série KC600 para desktop/notebook";1880;https://http2.mlstatic.com/D_753714-MLB54056599716_022023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003128;SSD Crucial Ct2000mx500ssd1 2tb;1269;https://http2.mlstatic.com/D_855698-MLB68965309549_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003129;SSD  Sandisk Ssd Plus 2tb Sdssda-2t00-g26;948;https://http2.mlstatic.com/D_894069-MLA43910324083_102020-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003129-9;Disco Sólido Interno Sandisk Ultra 3d Sdssdh3-2t00-g30 2tb - Preto;0;https://http2.mlstatic.com/D_993581-MLU73018083741_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003130;Patriot P210s2tb25 2tb Preto;609;https://http2.mlstatic.com/D_840902-MLU73785489542_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003131;SSD Xpg Gammix S5 Agammixs5-256gt-c 256gb;299;https://http2.mlstatic.com/D_850258-MLU74117530078_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003132;SSD NVME WD Green 240GB - WDS240G2G0C;169;https://http2.mlstatic.com/D_973518-MLB53361703760_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003132-5;Ssd M.2 2280 Sata 240gb Wd Green Branco;213;https://http2.mlstatic.com/D_701338-MLB72979195532_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003135;SSD Western Digital Blue 250GB SN550 NVMe WDS250G2B0C;310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003136-6;Ssd M.2 Patriot P300 Pci-e 256gb P300p256gm28us;165;https://http2.mlstatic.com/D_840988-MLU74246864161_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003137;Kingston SSD interno NV2 250G M.2 2280 NVMe | PCIe 4.0 Gen 4x4 | Até 3000 MB/s | SNV2S/250G;182;https://http2.mlstatic.com/D_721964-MLU73335302954_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003138;SSD de 250GB SNVS/250G padrão NV1 formato M.2 2280 NVMe ultra rápido (Leitura/Gravação: 2100/1700 MB/seg);201,5;https://http2.mlstatic.com/D_845341-MLB52068068659_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003138-1;Disco Sólido Interno Hp Ex900 2yy44aa 500gb;233;https://http2.mlstatic.com/D_930226-MLB72238606187_102023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003139;Ssd Patriot P310 480gb M.2 2280 Pcie Gen3x4 P310p480gm28;229;https://http2.mlstatic.com/D_799500-MLB50982178927_082022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003140;SSD NVME Mb/s545 WD Green 480GB - White;219;https://http2.mlstatic.com/D_670377-MLU74116119168_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003140-1;SSD NVME WD Green 480GB - SN350;240,5;https://http2.mlstatic.com/D_657469-MLU74246861253_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003141;SSD  Nvme Kingston Snv2s/500g 500gb;279;https://http2.mlstatic.com/D_761235-MLA51056422638_082022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003141-1;Kingston Snv2s/500g 500gb Azul - Azul;0;https://http2.mlstatic.com/D_965015-MLU72605997076_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003142;SSD Crucial P2 500 GB 3D NAND NVMe PCIe M.2 até 2400 MB/s - CT500P2SSD8;270,4;https://http2.mlstatic.com/D_705762-MLB48433475708_122021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0003143;SSD Western Digital  Wds500g2b0c 500gb Blue;459;https://http2.mlstatic.com/D_911831-MLA74134693070_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
